DutyID,CplexValue
6210464,1,000000000
4360264,1,000000000
6328017,1,000000000
5482986,1,000000000
4468322,1,000000000
6970326,1,000000000
6016970,1,000000000
4367721,1,000000000
5468883,1,000000000
4479236,1,000000000
4491888,1,000000000
5445193,1,000000000
5418972,1,000000000
7061207,1,000000000
6791372,1,000000000
5059067,1,000000000
4350507,1,000000000
6040957,1,000000000
5885149,1,000000000
4362870,1,000000000
4570235,1,000000000
4466498,1,000000000
4458400,1,000000000
4508974,1,000000000
4387230,1,000000000
4709745,1,000000000
7069795,1,000000000
5161380,1,000000000
4438453,1,000000000
4403417,1,000000000
6891302,1,000000000
6519710,1,000000000
4348733,1,000000000
5934239,1,000000000
4354674,1,000000000
4354625,1,000000000
6253515,1,000000000
4343835,1,000000000
6947069,1,000000000
4959056,1,000000000
4561769,1,000000000
6774803,1,000000000
7066653,1,000000000
5746062,1,000000000
4779903,1,000000000
5195622,1,000000000
4402983,1,000000000
4396793,1,000000000
4620791,1,000000000
6367659,1,000000000
7057888,1,000000000
4435273,1,000000000
4416227,1,000000000
7086822,1,000000000
5649904,1,000000000
4442937,1,000000000
6620620,1,000000000
5724395,1,000000000
6317514,1,000000000
7064337,1,000000000
6498255,1,000000000
4557831,1,000000000
7020043,1,000000000
6310576,1,000000000
6646399,1,000000000
4345681,1,000000000
6398074,1,000000000
6992826,1,000000000
7080818,1,000000000
7072248,1,000000000
4460661,1,000000000
4583635,1,000000000
6974314,1,000000000
4498698,1,000000000
4915064,1,000000000
4381029,1,000000000
5984261,1,000000000
7063585,1,000000000
6675496,1,000000000
4650145,1,000000000
4349224,1,000000000
4698109,1,000000000
5377874,1,000000000
5479350,1,000000000
7007313,1,000000000
4366694,1,000000000
4484829,1,000000000
4466253,1,000000000
6467098,1,000000000
4346026,1,000000000
6100286,1,000000000
4552820,1,000000000
4349541,1,000000000
6534933,1,000000000
6351933,1,000000000
4429628,1,000000000
6191616,1,000000000
5442165,1,000000000
4436509,1,000000000
4443489,1,000000000
4468227,1,000000000
6914314,1,000000000
6771384,1,000000000
6713389,1,000000000
6446543,1,000000000
6090930,1,000000000
4413547,1,000000000
5407008,1,000000000
4406911,1,000000000
7084056,1,000000000
6597845,1,000000000
7087744,1,000000000
6326623,1,000000000
7059923,1,000000000
6353119,1,000000000
4344298,1,000000000
5249436,1,000000000
4412131,1,000000000
5675926,1,000000000
6828268,1,000000000
4389344,1,000000000
4460154,1,000000000
4345503,1,000000000
7016815,1,000000000
4660763,1,000000000
5421107,1,000000000
4441113,1,000000000
6386921,1,000000000
6607495,1,000000000
4346721,1,000000000
4441737,1,000000000
5969370,1,000000000
7086727,1,000000000
4406636,1,000000000
5481582,1,000000000
4507257,1,000000000
4368298,1,000000000
6171237,1,000000000
7044037,1,000000000
5522581,1,000000000
4476643,1,000000000
5487021,1,000000000
4423016,1,000000000
7086613,1,000000000
7079147,1,000000000
7086038,1,000000000
6186484,1,000000000
7085811,1,000000000
5469054,1,000000000
5473477,1,000000000
5923911,1,000000000
4437933,1,000000000
7087119,1,000000000
4433443,1,000000000
6448422,1,000000000
4349888,1,000000000
6468418,1,000000000
4364010,1,000000000
7004383,1,000000000
6422110,1,000000000
4360004,1,000000000
4438750,1,000000000
6183033,1,000000000
7085249,1,000000000
6379217,1,000000000
6399409,1,000000000
7085001,1,000000000
6652560,1,000000000
7085361,1,000000000
7085597,1,000000000
5612322,1,000000000
5692193,1,000000000
4554275,1,000000000
6227025,1,000000000
4347597,1,000000000
4398029,1,000000000
4355363,1,000000000
7076835,1,000000000
4630356,1,000000000
4421435,1,000000000
4428124,1,000000000
4557969,1,000000000
